name,family,params_M,gflops,fwd_median_ms,fwd_std_ms,e2e_median_ms,e2e_std_ms,fps,threads,round
YOLOv8n,CNN,3.193934,8.7439872,121.15810000250349,2.7405093301363483,123.00559999857796,2.7717067577991026,8.129711167715623,1,1
YOLOv8l,CNN,43.710316,165.1485184,1886.5520000035758,37.079992292411696,1888.2507499947678,37.1030702845183,0.5295906806883413,1,1
RT-DETR-l,Transformer,32.834238,105.6038912,1271.6661499944166,57.73442386580395,1271.6661499944166,57.73442386580395,0.7863699132074803,1,1
YOLOv8n,CNN,3.193934,8.7439872,114.8445999933756,3.9558206700392997,116.56129999755649,4.028131416075004,8.579176793849788,1,2
YOLOv8l,CNN,43.710316,165.1485184,1914.932849991601,1161.6996696408867,1917.63555000216,1162.2234888903226,0.5214755222903923,1,2
RT-DETR-l,Transformer,32.834238,105.6038912,1400.741500001459,3166.548385546385,1400.741500001459,3166.548385546385,0.7139075982249105,1,2
YOLOv8n,CNN,3.193934,8.7439872,118.57504999352386,216.87512650606635,120.33474999043392,218.58906489002223,8.310151473946599,1,3
YOLOv8l,CNN,43.710316,165.1485184,1867.0969000086188,2478972.1772737955,1868.8388500013389,2478972.3185468735,0.5350916158443965,1,3
RT-DETR-l,Transformer,32.834238,105.6038912,1315.4494500049623,101.8152091234845,1315.4494500049623,101.8152091234845,0.7601964484429468,1,3
YOLOv8n,CNN,3.193934,8.7439872,36.428999999770895,2.6312062358177735,38.15964999375865,2.6907817218709815,26.205691094220175,4,1
YOLOv8l,CNN,43.710316,165.1485184,503.4518499887781,29.521483479081176,505.2690000011353,29.636644185546583,1.979143782812231,4,1
RT-DETR-l,Transformer,32.834238,105.6038912,378.37379999109544,17.279622980728956,378.37379999109544,17.279622980728956,2.642889121877714,4,1
YOLOv8n,CNN,3.193934,8.7439872,37.86174999549985,3.627896510110928,39.59815000416711,3.632301388767625,25.253705031542257,4,2
YOLOv8l,CNN,43.710316,165.1485184,543.6810499959392,37.81118058202008,545.4220000101486,37.87018243158259,1.8334427287153674,4,2
RT-DETR-l,Transformer,32.834238,105.6038912,410.7067999866558,537.8833866907729,410.7067999866558,537.8833866907729,2.4348269861431335,4,2
YOLOv8n,CNN,3.193934,8.7439872,37.99769999750424,6.539862524054942,39.838050011894666,6.5555395940412975,25.101630217880256,4,3
YOLOv8l,CNN,43.710316,165.1485184,491.8318500131136,25.15520444411038,493.5353000037139,25.245922893277385,2.02619751817646,4,3
RT-DETR-l,Transformer,32.834238,105.6038912,360.4302000167081,10.21383693145647,360.4302000167081,10.21383693145647,2.7744622952062397,4,3
YOLOv8n,CNN,3.193934,8.7439872,30.76719999080524,4.482634620344158,32.65389999432955,4.545362533901455,30.624213345837806,8,1
YOLOv8l,CNN,43.710316,165.1485184,318.4886000090046,15.57976218091063,320.10760001139715,15.587356551097614,3.123949571845204,8,1
RT-DETR-l,Transformer,32.834238,105.6038912,257.6250499987509,17.352008062202998,257.6250499987509,17.352008062202998,3.8816101151842513,8,1
YOLOv8n,CNN,3.193934,8.7439872,31.071549994521774,3.4035741818949266,32.98454999458045,3.4781461396093185,30.31722428119546,8,2
YOLOv8l,CNN,43.710316,165.1485184,328.6983000143664,10.664786272975086,330.4767000081483,10.678602984625961,3.0259319340072803,8,2
RT-DETR-l,Transformer,32.834238,105.6038912,261.24994999554474,30.774059859500944,261.24994999554474,30.774059859500944,3.8277519288216273,8,2
YOLOv8n,CNN,3.193934,8.7439872,31.593649997375906,3.7528494170213995,33.55575000750832,3.842744288437706,29.801151807849426,8,3
YOLOv8l,CNN,43.710316,165.1485184,370.8686000027228,39.71571953141212,372.48584999179,39.71562670854891,2.6846657397107596,8,3
RT-DETR-l,Transformer,32.834238,105.6038912,257.46320000325795,12.565415821344065,257.46320000325795,12.565415821344065,3.884050225381126,8,3
YOLOv8n,CNN,3.193934,8.7439872,30.593899995437823,3.7654450872263934,32.92035000049509,3.9010787842562618,30.376347760122872,16,1
YOLOv8l,CNN,43.710316,165.1485184,279.082950000884,8.588812521720902,281.30989997589495,8.612554672660652,3.554798462783175,16,1
RT-DETR-l,Transformer,32.834238,105.6038912,232.4913999909768,8.78362790637764,232.4913999909768,8.78362790637764,4.301234368405932,16,1
YOLOv8n,CNN,3.193934,8.7439872,31.586600001901388,3.684112894317077,33.94204999494832,3.8169769407811223,29.461980055678207,16,2
YOLOv8l,CNN,43.710316,165.1485184,293.61365000659134,340.6206933399269,295.78340001171455,342.25840762331444,3.380852339787814,16,2
RT-DETR-l,Transformer,32.834238,105.6038912,220.77649999118876,19.266184866502144,220.77649999118876,19.266184866502144,4.529467583913642,16,2
YOLOv8n,CNN,3.193934,8.7439872,30.659150012070313,4.4989473137238045,32.79115000623278,4.784472343787453,30.496033222681266,16,3
YOLOv8l,CNN,43.710316,165.1485184,279.02760000142734,410.1092002875249,281.2823499989463,412.27239084156946,3.5551466347026257,16,3
RT-DETR-l,Transformer,32.834238,105.6038912,229.03010000300128,14.12384790956635,229.03010000300128,14.12384790956635,4.3662383240757245,16,3
