model,family,median_ms,range_min_ms,range_max_ms,p95_round_median_ms,p99_round_median_ms,ratio_vs_YOLO11n_median,ratio_min,ratio_max,round_ratios,rounds
YOLO11n,CNN,34.2301,30.3915,34.7031,34.6991,34.7023,1.0,1.0,1.0,1.00000|1.00000|1.00000|1.00000|1.00000,5
YOLOv8n,CNN,33.0043,30.9869,40.0013,39.7777,39.9566,0.9743,0.8557,1.1199,0.97931|0.97429|0.85572|0.89198|1.11993,5
YOLOv8s,CNN,68.5038,66.337,73.3219,72.9579,73.2491,0.4997,0.4145,0.5228,0.45204|0.41449|0.49968|0.52283|0.51403,5
YOLOv8m,CNN,158.6481,152.0618,184.8773,181.1445,184.1307,0.2037,0.1828,0.2251,0.20373|0.18285|0.22511|0.18760|0.22364,5
YOLOv8l,CNN,273.3397,266.8423,275.6271,275.5371,275.6091,0.1242,0.1104,0.1285,0.12113|0.11044|0.12419|0.12689|0.12851,5
RT-DETR-l,Transformer,226.3694,222.358,257.877,251.667,256.635,0.1509,0.1179,0.1561,0.14278|0.11785|0.15091|0.15392|0.15607,5
RT-DETR-x,Transformer,410.8983,357.6273,458.702,452.3868,457.439,0.0758,0.0756,0.097,0.07567|0.07580|0.08331|0.07561|0.09704,5
