name,kind,images,n_pred,map50_95,map50,map75,mar100
YOLO11n,yolo,5000,657974,0.3870910957036881,0.5424703946164764,0.42110053009485077,0.5605116598179389
YOLOv8n,yolo,5000,689838,0.3667305424163205,0.5163481018044281,0.3985019363858881,0.5501538793494505
YOLOv8s,yolo,5000,559066,0.4427037830437584,0.6069391777065926,0.4796226228257837,0.6097350841782846
YOLOv8m,yolo,5000,471167,0.49489780890429574,0.660834497290625,0.5391966409483889,0.6519403708336939
YOLOv8l,yolo,5000,387294,0.5210386763773991,0.6870668439010543,0.5668029363679048,0.6732575726721639
RT-DETR-l,rtdetr,5000,1500000,0.5145691041973146,0.701213727972908,0.5545761103332039,0.7033949950771843
RT-DETR-x,rtdetr,5000,1500000,0.5307300185413111,0.7150460457833556,0.5755160429871032,0.7144974182843498
