model,file,sha256,bytes
YOLO11n,yolo11n.onnx,23f274b4e83be9f61636b988ad6f36f48bdf9edb43019c16c0b7a137ca2f7b60,10741399
YOLOv8n,yolov8n.onnx,4567bd8c50fd726dc9d645b9180ec5b3532c70139ad1c030bfad140205f0f48c,12851107
YOLOv8s,yolov8s.onnx,f46478ecfe7f4fe02e2c0ff9a32f52cfa3da66af6cb5e21e6c5cc3c3667d0f64,44869895
YOLOv8m,yolov8m.onnx,78d4d1b101fc093c594c9a6574c6735f03cfebd75b21d68e45cca270bae6f111,103809600
YOLOv8l,yolov8l.onnx,9be4763b9f9320313feb49debe0fbab8244ad95403b0466cda04b4fed26742f4,174960213
RT-DETR-l,rtdetr-l.onnx,caee07f9794908c6a485d800b6184802efd1c943d90e8723148d98480569af47,131668535
RT-DETR-x,rtdetr-x.onnx,3ecf792ea1aa4826de89c1f2daba501ca48468645b8a9286cc644cd8c32f2e51,265844950
